1st Advantage FCU,https://members.1stadvantage.org/scripts/isaofx.dll,251480563,1st Advantage FCU
66 Federal Credit Union,https://ofx.cuonlineaccounts.org,289,SixySix
A. G. Edwards and Sons%COMMA% Inc.,https://ofx.agedwards.com,43-0895447,A.G. Edwards
ABNB Federal Credit Union,https://cuathome.abnbfcu.org/scripts/isaofx.dll,251481627,ABNB Federal Credit Union
Addison Avenue Federal Credit Union,https://ofx.addisonavenue.com,11288,hpcu
Allegiance Credit Union,https://fed.usersonlnet.com/scripts/isaofx.dll,303085230,Federal Employees CU
Alpine Banks of Colorado,https://directline.netteller.com,1451,JackHenry
AltaOne Federal Credit Union,https://pcu.altaone.org/scripts/isaofx.dll,322274462,AltaOneFCU
America First Credit Union,https://ofx.americafirst.com,54324,America First Credit Union
American Express Card,https://www99.americanexpress.com/myca/ofxdl/us/download?request_type=nl_desktopdownload,3101,AMEX
Ameriprise Financial Services%COMMA% Inc.,https://www25.ameriprise.com/AMPFWeb/ofxdl/us/download?request_type=nl_desktopdownload,3102,AMPF
APCO EMPLOYEES CREDIT UNION,https://apc.usersonlnet.com/scripts/isaofx.dll,262087609,APCO Employees Credit Union
Arizona Federal Credit Union,https://ofxdi.diginsite.com/cmr/cmr.ofx,322172797,DI
Ascentra Credit Union,https://alc.usersonlnet.com/scripts/isaofx.dll,273973456,Alcoa Employees&Community CU
AT&T Universal Card,https://secureofx2.bankhost.com/citi/cgi-forte/ofx_rt?servicename=ofx_rt&pagename=ofx,24909,Citigroup
B-M S Federal Credit Union,https://bms.usersonlnet.com/scripts/isaofx.dll,221277007,B-M S Federal Credit Union
BancFirst,https://ofxdi.diginsite.com/cmr/cmr.ofx,103003632,DI
Bank of America,https://ofx.bankofamerica.com/cgi-forte/ofx?servicename=ofx_2-3&pagename=bofa,6805,HAN
Bank of America (All except CA%COMMA% WA%COMMA%&ID),https://ofx.bankofamerica.com/cgi-forte/fortecgi?servicename=ofx_2-3&pagename=ofx,6812,HAN
Bank of America (California),https://ofx.bankofamerica.com/cgi-forte/ofx?servicename=ofx_2-3&pagename=bofa,6805,HAN
Bank of Stockton,https://internetbanking.bankofstockton.com/scripts/serverext.dll,3901,BOS
Bank of Tampa%COMMA% The,https://OFX.Bankoftampa.com/OFXServer/ofxsrvr.dll,063108680,BOT
Bank of the Cascades,https://directline.netteller.com,4751,JackHenry
Bank One,https://onlineofx.chase.com/chase.ofx,5811,B1
Bank-Fund Staff FCU,https://secure.bfsfcu.org/ofx/ofx.dll,2,Bank Fund Staff FCU
Baton Rouge City Parish Emp FCU,https://bat.usersonlnet.com/scripts/isaofx.dll,265473333,Baton Rouge City Parish EFCU
BB&T,https://eftx.bbt.com/eftxweb/access.ofx,BBT,BBT
Billings Federal Credit Union,https://bfcuonline.billingsfcu.org/ofx/ofx.dll,6217,Billings Federal Credit Union
Bossier Federal Credit Union,https://bos.usersonlnet.com/scripts/isaofx.dll,311175129,Bossier Federal Credit Union
California Bank&Trust,https://pfm.metavante.com/ofx/OFXServlet,5006,401
Camino FCU,https://homebanking.caminofcu.org/isaofx/isaofx.dll,322279975,Camino FCU
Campus USA Credit Union,https://que.campuscu.com/scripts/isaofx.dll,263178478,Campus USA Credit Union
Capital One,https://onlinebanking.capitalone.com/scripts/serverext.dll,1001,Hibernia
Capital One Bank,https://onlinebanking.capitalone.com/scripts/serverext.dll,1001,Hibernia
Cedar Point Federal Credit Union,https://pcu.cpfcu.com/scripts/isaofx.dll,255077736,Cedar Point Federal Credit Union
Centra Credit Union,https://centralink.org/scripts/isaofx.dll,274972883,Centra CU
Central Florida Educators FCU,https://www.mattweb.cfefcu.com/scripts/isaofx.dll,590678236,CentralFloridaEduc
Central Maine FCU,https://cro.usersonlnet.com/scripts/isaofx.dll,211287926,Central Maine FCU
Centura Bank,https://www.oasis.cfree.com/1901.ofxgp,1901,Centura Bank
